gene_symbol	xenium_gene	disorders	tested_tf	xpr_vVMH	xpr_vVMH_M	xpr_vVMH_F	xpr_vARC	xpr_vARC_M	xpr_vARC_F	vARC_sexDE_fdrsig	vVMH_sexDE_fdrsig	vARC_sexDE_nomsig	vVMH_sexDE_nomsig	xARC_sexDE_FDRpt1clusts	xVMH_sexDE_FDRpt1clusts
DHRS3	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC254633.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AADACL4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AADACL3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
C1orf158	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PRAMEF12	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PRAMEF17	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LRRC38	No	ADHD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL354712.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PDPN	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL359771.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PRDM2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
KAZN	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL357873.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
KAZN-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TMEM51-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TMEM51	No	BMI	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
C1orf195	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
FHAD1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL031283.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL031283.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
EFHD2	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CTRC	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CELA2A	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CELA2B	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CASP9	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
DNAJC16	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL121992.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AGMAT	No		NO	NO	NO	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL121992.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DDI2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL121992.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PLEKHM2	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SLC25A34	No		NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
SLC25A34-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TMEM82	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
FBLIM1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
UQCRHL	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL450998.2	No		NO	NO	NO	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SPEN	No	BMI, ASD	YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ZBTB17	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SRARP	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL355994.3	No	MDD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
HSPB7	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CLCNKA	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CLCNKB	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
FAM131C	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
EPHA2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL451042.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL451042.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ARHGEF19	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL109627.1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CPLANE2	No		NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
FBXO42	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SZRD1	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SPATA21	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
NECAP2	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LINC01772	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL137802.2	No		NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
AL137802.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC01783	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
NBPF1	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL137798.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL021920.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CROCC	No	ADHD, BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
BX284668.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
BX284668.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
BX284668.5	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
BX284668.6	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MFAP2	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL049569.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL049569.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ATP13A2	No	ADHD, BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SDHB	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	YES	NO	NO
PADI2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LINC02783	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PADI1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PADI4	No	BMI, AD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PADI6	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
RCC2-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
RCC2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
ARHGEF10L	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LINC02810	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ACTL8	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL357509.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
IGSF21	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL591896.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
KLHDC7A	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PAX7	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ALDH4A1	No	NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
IFFO2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
AL137127.1	No	MDD	NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
UBR4	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
EMC1-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
EMC1	No	NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MRTO4	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AKR7A3	No		NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
AKR7A2	No	MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SLC66A1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CAPZB	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MICOS10	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL031727.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
NBL1	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
HTR6	No	BIP, SCZ	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TMCO4	No		NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
OTUD3	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PLA2G2A	No	MDD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PLA2G5	No		NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
PLA2G2D	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PLA2G2F	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Z98257.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PLA2G2C	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
UBXN10-AS1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
UBXN10	No	BMI	NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LINC01757	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Z98257.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
VWA5B1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL020998.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC01141	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL139254.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CAMK2N1	No	AUD, MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MUL1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
FAM43B	No	AUD	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
CDA	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PINK1	No	BMI, MDD, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PINK1-AS	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DDOST	No	NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	YES	NO	NO
KIF17	No	SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
SH2D5	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL663074.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
HP1BP3	No	BMI, AD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
EIF4G3	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL031005.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ECE1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL031005.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL031728.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
NBPF3	No		NO	NO	NO	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ALPL	No	BMI	NO	NO	NO	YES	NO	NO	YES	NO	NO	YES	NO	NO	NO
RAP1GAP	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
USP48	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LDLRAD2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
HSPG2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC01635	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC00339	No	SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CDC42	No	SCZ, NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CDC42-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CDC42-IT1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
WNT4	No	NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
AL445253.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ZBTB40	No	BMI, NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
EPHA8	No	AUD	NO	YES	YES	YES	NO	YES	YES	NO	NO	NO	YES	NO	NO
C1QA	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
C1QC	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
C1QB	No	SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
EPHB2	No	MDD, ASD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TEX46	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
KDM1A	No	BMI, NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL031428.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LUZP1	No	ADHD, BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	YES	NO	NO
HTR1D	No	MDD, OCD	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC01355	No		NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
AL109936.6	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
HNRNPR	No	BMI, ASD, NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ZNF436	No		YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ZNF436-AS1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL109936.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TCEA3	No		NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ASAP3	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
E2F2	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL021154.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ID3	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
AL450043.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MDS2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
RPL11	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ELOA-AS1	No		NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
ELOA	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PITHD1	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LYPLA2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
GALE	No	NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
HMGCL	No	NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
FUCA1	No	BMI, NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CNR2	No	MDD, AUD, Cannabis, SCZ	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PNRC2	No	MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SRSF10	No	BMI, MDD, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL591178.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MYOM3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL591178.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
IL22RA1	No	BMI, MDD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
IFNLR1	No		NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
LINC02800	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GRHL3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
STPG1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
NIPAL3	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
RCAN3AS	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
RCAN3	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
NCMAP-DT	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
NCMAP	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SRRM1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CLIC4	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
RUNX3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL445471.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL050344.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL031432.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SYF2	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL031432.4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL031432.5	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
RSRP1	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
AL031432.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
RHD	No	ADHD, SCZ	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TMEM50A	No	ADHD, Panic	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	YES	NO	NO
RHCE	No	ADHD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MACO1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
LDLRAP1	No		NO	NO	NO	YES	NO	NO	YES	NO	NO	NO	NO	NO	NO
AL606491.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MAN1C1	No	OCD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL031280.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SELENON	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL020996.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MTFR1L	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AUNIP	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PAQR7	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	YES	NO	NO
STMN1	No	MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	YES	NO	NO
PAFAH2	No		NO	NO	NO	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
EXTL1	No		NO	YES	YES	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
SLC30A2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL391650.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TRIM63	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PDIK1L	No	SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
FAM110D	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
C1orf232	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL391650.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ZNF593	No	ADHD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CNKSR1	No	NDD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CATSPER4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CEP85	No		NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SH3BGRL3	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	YES	NO	NO
UBXN11	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
CD52	Yes	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	Peripheral_immune_NK-or_Tcell, Tanycyte_2	NO
CRYBG2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ZNF683	No	AUD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LIN28A	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DHDDS	No	NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL513365.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
HMGN2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
RPS6KA1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL512408.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ARID1A	No	BMI, SCZ, NDD	YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PIGV	No	NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ZDHHC18	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SFN	No	AD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GPN2	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL034380.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GPATCH3	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
NUDC	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
NR0B2	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
KDF1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TRNP1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TENT5B	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SLC9A1	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL590640.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
WDTC1	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TMEM222	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SYTL1	No		NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
MAP3K6	No		NO	NO	YES	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
FCN3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CD164L2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GPR3	No		NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
WASF2	No	BMI, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
BX293535.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AHDC1	No	BMI, ASD, NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	YES	NO	NO
FGR	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC02574	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
IFI6	No	BMI, OUD, MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	YES	NO	NO
AL445490.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL020997.5	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
FAM76A	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
STX12	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL020997.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL020997.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL020997.4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
